"","Text"
"108","KOONEY:</p><p>Now, Secretary Clinton, you have said you would go further than the president when it comes to taking executive action to implement immigration reforms.  But the President's already facing legal troubles on this.  We've seen it more just in the past week.  Realistically how can you go further with executive action?</p><p>HILLARY "
"109","CLINTON:</p><p>Well, first of all, I know that-- the president has appealed the-- decision-- to the Supreme Court.  And my reading of the law and the Constitution-- convinces me that the president has the authority that he is attempting to exercise with respect to dreamers and their parents because I think all of us on this stage agree that-- we need comprehensive immigration reform with a path to citizenship.</p><p>Border security has always been a part of that debate.  And it is a fact that the-- net immigration from-- Mexico and south has basically zeroed out.  So what we wanna do is to say, ""Look, we have 11 million people who have been here, many of them for decades.""  They have children who are doing so well.  I've met and worked with dreamers.  I think any parent would be so proud of them.  So let's move toward what we should be doing as a nation and follow the values of our immigration history and begin to make it possible for them to come out of the shadows and to have (APPLAUSE) their kids-- (INAUDIBLE PHRASE)</p><p>KATHIE "
"110","OBRADOVICH:</p><p>Senator Sanders-- you guys have talked about immigration as being a wage issue in the United States.  And I wanna actually go directly to the wage issue now.  You've talked about raising to $15.00 an hour everywhere in the country.  But the President's former chair of the Council of Economic Advisors, Alan Krueger has said the national increase of $15.00 could lead to undesirable and unintended consequences like job loss.  What level of job loss would you consider unacceptable?</p><p>BERNIE "
"111","SANDERS:</p><p>Let me say this-- you know, no public policy doesn't have in some cases negative consequences.  But at the end of the day what you have right now are millions of Americans working two or three jobs because that wages that they are earning are just too low.  Real inflation accounted for wages has declined precipitously over the years.  So I believe that in fact this country needs to move toward a living wage.</p><p> It is not a radical idea to say that if somebody works 40 hours a week that person should not be living in poverty.  It is not a radical idea to say that a single mom should be earning enough money to take care of her kids.  So I believe that over the next few years, not tomorrow, that over the next few years we have got to move the minimum wage to a living wage $15.00 bucks an hour.  And I apologize to nobody.</p><p>KATHIE "
"112","OBRADOVICH:</p><p>But you said the-- the-- (APPLAUSE) you said there-- there are consequences for-- for any policy.  Do-- do you think job losses are a consequence that are--</p><p>(OVERTALK)</p><p>BERNIE "
"113","SANDERS:</p><p>This is what many economists believe that one of the reasons that real unemployment in this country is ten percent, one of the reasons that African American youth unemployment and underemployment is 51 percent is the average worker in America doesn't have any disposable income.</p><p>You have no disposable income when you're making ten, $12.00 bucks an hour.  When we put money into the hands of working people they're gonna go out for our goods.  They're gonna go out for our services.  And they are gonna create jobs in doing that.  That is the kind of economy I believe, put money in the hands of working people, raise the minimum wage to $15.00 an hour.</p><p>MARTIN O'"
"114","MALLEY:</p><p>Kathie, this was not merely theory in Maryland.  We actually did it.  Not only were we the first state in the nation to pass a living wage we were the first to pass a minimum wage.  And the U.S. Chamber of Commerce which hardly ever says nice things about democratic governors anywhere made our state number one for innovation and entrepreneurship.</p><p>We defended the highest median income in the country.  And-- so look, the way the-- the-- a stronger middle class is actually the source of economic growth.  And if our middle class makes more money, they spend more money.  And our whole economy grows.  We did it.  And it worked.  And nobody headed for the hills or left the state because of the--</p><p>KATHIE "
"115","OBRADOVICH:</p><p>You're calling for a $15.00-- minimum wage.  But why did you stop at $10.10 in your state?</p><p>MARTIN O'"
"116","MALLEY:</p><p>$10.10 was all I could get the state to do by the time I left in my last year.  But two of our counties actually went to $12.80.  And their county executives if they were here tonight would also tell you that it works.  The fact of the matter is the more our people earn the more money they spend and the more our whole economy grows.</p><p>(OVERTALK)</p><p>MARTIN O'"
"117","MALLEY:</p><p>This is not an esoteric article-- argument.  And you're seeing cities like Seattle, you're seeing cities like San Francisco, cities like Los Angeles doing it.  And they are doing it well and workers are able to have more disposable income.</p><p>HILLARY "
"118","CLINTON:</p><p>But I do take what Alan Krueger said seriously.  He is the foremost expert in our country on the minimum wage-- and what its effects-- are.  And the overall message is that it doesn't result in job loss.  However what Alan Krueger said in the piece you're referring to is that if we went to $15.00 there are no international comparisons.  That is why I support a $12.00 national federal minimum wage.  That is what the democrats in the senate have put forward as-- proposal.</p><p>But I do believe that is a minimum.  And places like Seattle, like Los Angeles, like New York City, they can go higher.  It's what happened in-- Governor O'Malley's state.  There was a minimum wage at the state level.  And some places went higher.  I think that is the smartest way to be able to move forward because if you go to $12.00 it would be the highest historical average we've ever had.</p><p>(OVERTALK)</p><p>MARTIN O'"
"119","MALLEY:</p><p>Oh, come on now.  Yeah, but, yes, it should always be going up.  I mean, it--</p><p>(OVERTALK)</p><p>MARTIN O'"
"120","MALLEY:</p><p>With all due respect to Secretary Clinton.</p><p>HILLARY "
"121","CLINTON:</p><p>You would expect a median wage.  Of course you would do the trial.  And you would index it.  But I-- I think--</p><p>BERNIE "
"122","SANDERS:</p><p>I think we need to stop taking our advice from economists on Wall Street.</p><p>HILLARY "
"123","CLINTON:</p><p>He's not on Wall Street.</p><p>MARTIN O'"
"124","MALLEY:</p><p>And start taking advice from--</p><p> (OVERTALK)</p><p>KEVIN "
"125","KOONEY:</p><p>You have-- you have given me the perfect segue.  We are gonna talk about Wall Street.  But now we've gotta go do a commercial.  (LAUGH) (APPLAUSE) We're starting in the first hour.  But there's another hour behind it.  And we're gonna talk about Wall Street.  So hang with us.</p><p>(THEME MUSIC)</p><p>BERNIE "
"126","SANDERS:</p><p>This country will rid our planet of ISIS.</p><p>HILLARY "
"127","CLINTON:</p><p>We have to look at ISIS as the leading threat of an international terror network.</p><p>MARTIN O'"
"128","MALLEY:</p><p>The world is a very dangerous place but not too dangerous of a place for the United States of America.</p><p>HILLARY "
"129","CLINTON:</p><p>This is an incredibly complicated nation of the world.</p><p>BERNIE "
"130","SANDERS:</p><p>This role with American leadership can and must come together (UNINTEL).</p><p>HILLARY "
"131","CLINTON:</p><p>We've got to understand the complexity of the world that we are facing and no place is more so than in the Middle East.</p><p>(THEME MUSIC)</p><p>JOHN "
"132","Mods:</p><p>Live from Drake University in Des Moines, Iowa, CBS--</p><p>(THEME MUSIC)</p><p>This country will rid our planet of ISIS.</p><p>HILLARY "
"133","CLINTON:</p><p> We have to look at ISIS as the leading threat of an international terror network.</p><p>MARTIN O'"
"134","MALLEY:</p><p>The world is a very dangerous place but not too dangerous of a place for the United States of America.</p><p>HILLARY "
"135","CLINTON:</p><p>This is an incredibly complicated nation of the world.</p><p>BERNIE "
"136","SANDERS:</p><p>This role with American leadership can and must come together (UNINTEL).</p><p>HILLARY "
"137","CLINTON:</p><p>We've got to understand the complexity of the world that we are facing and no place is more so than in the Middle East.</p><p>MALE "
"138","VOICE:</p><p>Live from Drake University in Des Moines, Iowa, CBS News brings you the democratic presidential debate here again, John Dickerson.  (APPLAUSE)</p><p>JOHN "
"139","Mods:</p><p>Good evening again as we begin the second half of the debate.  And joining me in the questioning are-- candidates, our CBS News congressional correspondent Nancy Cordes, Kevin Cooney of CBS Good Morning affiliate KCCI and Kathie Obradovich of the Des Moines Register. As those who watched the first hour now our topic is Wall Street for those just joining us, welcome.  Senator-- excuse me, Secretary Clinton this time, went to the past there for a moment, Senator Sanders recently said quote, ""People should be suspect of candidates who receive large sums of money from Wall Street and then go out and say, ""Trust me, I'm going to reregulate Wall Street.""  So you've received millions of dollars in contributions and speaking fees from Wall Street companies.  How do you convince voters that you're gonna level the playing field when you're indebted to some of the biggest players?</p><p>HILLARY "
"140","CLINTON:</p><p>Well, I-- I think it's pretty clear that they know that I will.  You've got two billionaire hedge fund managers who've started a super PAC.  And they're advertising against the (UNINTEL) as we speak.  So they clearly think I'm going to do what I say I will do.  And you you can look at what I did in the senate.  I did introduce legislation to reign in-- compensation.  I looked at ways that the shareholders would have more control over what was going on in that arena and specifically said to Wall Street that-- what they were doing in the mortgage was bringing our country down.</p><p>I've laid out a very aggressive-- plan to reign in Wall Street not just the big banks.  That's a part of the problem.  And I am going right at them.  I've got a comprehensive, tough plan.  But I went further than that.  We have to go after what's called the shadow banking industry, those hedge funds.  Look at what happened in '08, AIG a big insurance company, Lehman Brothers, an investment bank helped to bring our economy down.  So I wanna look at the whole problem.  And that's why my proposal is much more comprehensive than anything else that's been put forth.</p><p>JOHN "
"141","Mods:</p><p>Senator Sanders, you've-- you've said that the donations to Secretary Clinton are compromising.  So what did you think of her answer?</p><p>BERNIE "
"142","SANDERS:</p><p>Not good enough.  (LAUGH) Here's the story.  I mean, you know, let's not be naive about it.  Why do-- why over her political career has Wall Street a major-- the major-- campaign contributor to Hillary Clinton?  You know, maybe they're dumb and they don't know what they're gonna get.  But I don't think so.</p><p>Here is the major issue when we talk about Wall Street, it ain't complicated.  You got six financial institutions today that have assets of 56 per-- equivalent to 50-- six percent of the GDP in America.  They issue two thirds of the credit cards and one third of the mortgages.  If Teddy Roosevelt, the good republican, were alive today you know what he'd say?  ""Break them up.  Reestablish (APPLAUSE) (UNINTEL) like Teddy Roosevelt (UNINTEL) that is leadership.  So I am the only candidate up here that doesn't have a super PAC.  I'm not asking Wall Street or the billionaires for money.  I will break up these banks, support community banks and credit unions-- credit unions.  That's the future of banking in America.</p><p>JOHN "
"143","Mods:</p><p>Quick follow-up because you-- you-- (APPLAUSE) Secretary Clinton, you'll get a chance to respond.  You said they know what they're going to get.  What are they gonna get?</p><p>BERNIE "
"144","SANDERS:</p><p>I have never heard a candidate, never, who's received huge amounts of money from oil, from coal, from Wall Street, from the military industrial complex, not one candidate, go, ""OH, these-- these campaign contributions will not influence me.  I'm gonna be independent.""  Now, why do they make millions of dollars of campaign contributions?  They expect to get something.  Everybody knows that.  Once again, I am running a campaign differently than any other candidate.  We are relying on small campaign donors, $750,000 and $30 apiece.  That's who I'm indebted to.</p><p>HILLARY "
"145","CLINTON:</p><p>Well, Scott, Scott, wait a minute, wait a minute.</p><p>(OVERTALK)</p><p>JOHN "
"146","Mods:</p><p>Secretary Clinton gets to respond.</p><p>HILLARY "
"147","CLINTON:</p><p> --answer to impugn my integrity, let's be frank here.</p><p>BERNIE "
"148","SANDERS:</p><p>No, I don't.</p><p>HILLARY "
"149","CLINTON:</p><p> Oh, wait a minute, senator.  (LAUGH) You know, not only do I have hundreds of thousands of donors, most of them small, I am very proud that for the first time a majority of my donors are women, 60 percent.  (APPLAUSE) So I-- I represented New York.  And I represented New York on 9/11 when we were attacked.</p><p>Where were we attacked?  We were attacked in downtown Manhattan where Wall Street is.  I did spend a whole lot of time and effort helping them rebuild.  That was good for New York.  It was good for the economy.  And it was a way to rebuke the terrorists who had attacked our country.  (APPLAUSE)</p><p>So, you know, it's fine for you to say what you're gonna say.  But I look very carefully at your proposal reinstating Glass Steagall is a part of what very well could help but it is nowhere near enough.  My proposal is tougher, more effective and more comprehensive because I go after all of Wall Street not just the big banks.  (APPLAUSE)</p><p>(OVERTALK)</p><p>JOHN "
"150","Mods:</p><p>Hold on, hold on, he was attacked.  Go--</p><p>(OVERTALK)</p><p>BERNIE "
"151","SANDERS:</p><p>Here's-- she touches on two broad issues.  It's not just Wall Street.  It's campaigns, a corrupt campaign finance system.  And it is easy to talk the talk about ending-- Citizens United.  But what I think we need to do is show by example that we are prepared to not rely on large corporations and Wall Street for campaign contributions.</p><p>And that's what I'm doing.  In terms of Wall Street I respectfully disagree with you, Madame Secretary in the sense that the issue is when you have such incredible power and such incredible wealth, when you have Wall Street spending five billion dollars over a ten year period to get re-- to get deregulated the only answer that I know is break them up, reestablish Glass Steagall.</p><p>JOHN "
"152","Mods:</p><p>Senator, we have to get Senator O'Malley in.  But no-- along with your answer how many Wall Street-- veterans would you have in your administration?</p><p>MARTIN O'"
"153","MALLEY:</p><p>Well, I'll tell you what, I've said this before, I-- I don't-- I believe that we actually need some new economic thinking in the White House.  And I would not have Robert Rubin or Larry Summers with all due respect, Secretary Clinton, to you and to them, back on my council of economic advisors.</p><p>HILLARY "
"154","CLINTON:</p><p>Anyone (UNINTEL PHRASE).</p><p>MARTIN O'"
"155","MALLEY:</p><p>If they were architects, sure, we'll-- we'll have-- we'll have an inclusive group.  But I won't be taking my orders from Wall Street.  And-- look, let me say this-- I put out a proposal-- I was on the front line when people lost their homes, when people lost their jobs.</p><p>I was on the front lines as the governor-- fighting against-- fighting that battle.  Our economy was wrecked by the big banks of Wall Street.  And Secretary Clinton-- when you put out your proposal (LAUGH) on Wall Street it was greeted by many as quote/ unquote weak tea.  It is weak tea.  It is not what the people expect of our country.  We expect that our president will protect the main street economy from excesses on Wall Street.  And that's why Bernie's right.  We need to reinstate a modern version of Glass Steagall and we should have done it already.  (APPLAUSE)</p><p>KATHIE "
"156","OBRADOVICH:</p><p>Well, you know, governor I know that when you had a chance to appoint a commissioner for financial regulation you chose an investment banker in 2010.  So for me it is looking at what works and what we need to do to try to move past what happened in '08.</p><p>And I will go back and say again AIG was not a big bank.  It had to be bailed out.  And it nearly destroyed us.  Lehman Brothers was not a big bank.  It was an investment bank.  And its bankruptcy and its failure nearly destroyed us.  So I've said if the big banks don't play by the rules I will break them up.</p><p>BERNIE "
"157","SANDERS:</p><p>The big bank--</p><p>KATHIE "
"158","OBRADOVICH:</p><p>And I will also go after executives who are responsible for the decisions that have such bad consequences for our country.  (APPLAUSE)</p><p>BERNIE "
"159","SANDERS:</p><p>Look, I don't know-- with all due respect to the secretary, Wall Street played by the rules.  Who are we kidding?  The business model of Wall Street is fraud.  That's what it is.  And we-- we have-- (APPLAUSE) and let me make this promise, one of the problems we have had I think all-- all Americans understand it is whether it's republican administration or democratic administration we have seen Wall Street and Goldman Sachs dominate administrations.  Here's my promise Wall Street representatives will not be in my cabinet.  (APPLAUSE)</p><p>JOHN "
"160","Mods:</p><p>All right, I wanna get to the-- bridge to the issues of guns here.  Secretary Clinton, you've said that Senator Sanders is not tough enough on guns.  But basically he now supports roughly the same things you do.  So can you tell us some of the exact differences going forward between the two of you on the issue of gun control?</p><p>HILLARY "
"161","CLINTON:</p><p>Well, I think that there are different-- records.  I-- you know, know that-- Senator Sanders-- had a different vote than I did-- when it came to giving immunity to gun makers and sellers.  That was a terrible mistake.  It basically gave the gun lobby even more power to intimidate-- legislators not just in Washington but across the country.</p><p>But just think about this, since we last debated in Las Vegas nearly 3,000 people have been killed by guns, 21 mass shootings including one last weekend in Des Moines where three were murdered, 200 children have been killed.  This is an emergency.  There are a lot of things we've gotta do in our country.  Reigning in Wall Street is certainly one of them.  I agree with that.  That's why I've got such a good plan.  But we have to also go after the gun lobby.  And 92 percent of Americans agree we should have universal background checks, close the gun show loophole, close the out of (APPLAUSE) loophole and-- I wanna-- but I-- I will do everything I can as president to get that accomplished.</p><p>JOHN "
"162","Mods:</p><p>Secretary Clinton just a quick follow up, you say that-- Senator Sanders took a vote that-- on immunity that you don't like.  So if he can be tattooed by a single vote and that ruins all future-- opinions by him on this issue, why then is he right when he says you're wrong vote on Iraq tattoos you for offering your judgment?</p><p>HILLARY "
"163","CLINTON:</p><p>I-- I said I made a mistake on Iraq.  And I would love to see Senator Sanders join with some of my colleagues-- in the senate that I-- see in the audience, let's reverse the immunity.  Let's--</p><p> (OVERTALK)</p><p>HILLARY "
"164","CLINTON:</p><p>Let's go to the gun makers and tell-- on notice that they're not gonna get away with it.</p><p>(OVERTALK)</p><p>BERNIE "
"165","SANDERS:</p><p>Let's do more than reverse the immunity.</p><p>(OVERTALK)</p><p>HILLARY "
"166","CLINTON:</p><p>'Cause you think that that's a mistake.</p><p>BERNIE "
"167","SANDERS:</p><p>But let's-- let me hear it-- if there's any difference between the secretary and myself.  I have voted time and again to-- for-- for the background checks.  And I wanna see it improved and expanded.  I wanna see them do away with the gun show loophole.  In 1988 I lost an election because I said we should not have assault weapons on the streets of America.</p><p>We have to do away with the strong man proposal.  We need radical changes in mental health in America.  So somebody who's suicidal or homicidal can get the emergency care they need.  But we have-- I don't know that there's any disagreement here.</p><p>MARTIN O'"
"168","MALLEY:</p><p>Oh yes, there is.</p><p>BERNIE "
"169","SANDERS:</p><p>We have lots-- come forward with a consensus--</p><p>MARTIN O'"
"170","MALLEY:</p><p>Yes, there is.</p><p>BERNIE "
"171","SANDERS:</p><p>--that in fact will work--</p><p>JOHN "
"172","Mods:</p><p>Senator, a mistake or not, you're-- you're-- so quickly before--</p><p>BERNIE "
"173","SANDERS:</p><p>We will talk of that bill which I agree with parts, I disagree-- I am certainly absolutely willing to look at that bill and make sure-- and not a form of the bill.</p><p>JOHN "
"174","Mods:</p><p>Not a mistake.</p><p>MARTIN O'"
"175","MALLEY:</p><p>John, this is another one of those examples.  Look, we have-- we have a lot of work to do.  And we're the only nation on the planet that buries as many of our people from gun violence as we do in my own state after they-- the children in that Connecticut classroom were gunned down, we passed comprehensive-- gun safety legislation, background checks, ban on assault weapons.</p><p>And senator, I think we do need to repeal that immunity that you granted to the gun industry.  But Secretary Clinton, you've been on three sides of this.  When you ran in 2000 you said that we needed federal robust regulations.  Then in 2008 you were portraying yourself as Annie Oakley and saying that we don't need those regulation on the federal level.  And now you're coming back around here.  So John, there's a big difference between leading by polls and leading with principle.  We got it done in my state by leading with principle.  And that's what we need to do as a party, comprehensive gun--</p><p>(OVERTALK)</p><p>BERNIE "
"176","SANDERS:</p><p>All due respect-- I think it's fair to say that Baltimore is not now one of the safest cities in America.  But the issue-- and it's a lot--</p><p>MARTIN O'"
"177","MALLEY:</p><p>Saved a lot of lives along the way.</p><p>BERNIE "
"178","SANDERS:</p><p>The issue is I believe and I believe this honestly and I don't know that there's much difference on guns between us but I believe coming from a state that has virtually no gun control I believe that I am in a position to recount of the 60 or 70 percent of the American people who agree with us on those issues.  The problem is--</p><p>JOHN "
"179","Mods:</p><p>Hold on.</p><p>BERNIE "
"180","SANDERS:</p><p>--people all over this country, not you Secretary Clinton, are shouting at each other.  And what we need to do (LAUGH) is bring people together to work on the agreement where there is broad consensus.  And that's what I intend to do.</p><p>(OVERTALK)</p><p>HILLARY "
"181","CLINTON:</p><p>There-- there is broad consensus.  92 percent in the most recent poll of Americans want gun safety measures.</p><p>BERNIE "
"182","SANDERS:</p><p>Absolutely.</p><p>HILLARY "
"183","CLINTON:</p><p>And 85 percent of gun owners agree.  We've got the consensus.  What we're lacking is political leadership.  And that's what you and others can start providing in the senate.  (APPLAUSE)</p><p>BERNIE "
"184","SANDERS:</p><p>Yes, I agree.</p><p>JOHN "
"185","Mods:</p><p>Sorry, I'm gonna bring in Nancy Cordes with a question from Twitter about this exchange.</p><p>(OFF-MIC CONVERSATION)</p><p>NANCY "
"186","CORDES:</p><p>(IN PROGRESS) --about guns but also about your conversation on campaign finance.  And Secretary Clinton, one of the tweets we saw-- said that I've never seen a candidate invoke 9/11 to justify millions of Wall Street donations until now the idea being that, yes, you are a champion of the community after 9/11.  But what does that have to do with taking big donations?</p><p>KATHIE "
"187","OBRADOVICH:</p><p>Well, I'm sorry that whoever tweeted that-- had that impression because I worked closely with New Yorkers after 9/11 for my entire first term to rebuild.  And so yes, I did know people.  I had a lot of folks give me donations from all kinds of backgrounds, say, ""I don't agree with you on everything.  But I like what you do.  I like how you stand up.  I'm going to support you.""  (LAUGH)  And I think that is absolutely perfect.</p><p>BERNIE "
"188","SANDERS:</p><p>Well, I-- if I might-- I-- I-- I think the issue here is that I-- I applaud Secretary Clinton.  She did.  She's the senator from New York.  She worked-- many of us supported you in trying to rebuild that devastation.  But at the end of the day Wall Street today has enormous economic and political power.  Their business model is greed and fraud.  And for the sake of our economy they must-- the major banks must be broken up.</p><p>HILLARY "
"189","CLINTON:</p><p>But--</p><p>MARTIN O'"
"190","MALLEY:</p><p>John, I think somewhere between the--</p><p>(OVERTALK)</p><p>NANCY "
"191","CORDES:</p><p>Senator Sanders, I'm sorry, so what is it in Secretary Clinton's record-- that shows you that she's been influenced by those donations?</p><p>BERNIE "
"192","SANDERS:</p><p>Well, there--</p><p>(OVERTALK)</p><p>BERNIE "
"193","SANDERS:</p><p>The issue right now is whether or not we reestablish Glass Steagall.  I led (UNINTEL PHRASE) unfortunately unsuccessfully against deregulation because I knew when you merge large insurance companies and investment banks and commercial banks it was not going to be good.  The issue now is do we break them up?  Do we reestablish Glass Steagall?  And Secretary Clinton unfortunately is on the wrong side.</p><p>HILLARY "
"194","CLINTON:</p><p>Well, I'll tell you who's on my side, Paul Krugman, the Nobel prize winning economist who said my plan for what we should do to reign in Wall Street was more comprehensive and better.  Paul Volcker, one of the leading (UNINTEL) of trying to reign in the excesses has also said he does not support reinstating Glass Steagall.</p><p>So I mean, this may seem like a bit of an arcane discussion.  I have nothing against the passion that my two friends here have about reinstating Glass Steagall.  I just don't think it would get the job done.  I'm all about making sure (APPLAUSE) we actually get results for whatever reason.</p><p>JOHN "
"195","Mods:</p><p>That's-- a final word-- the final word, Governor O'Malley, before we go to commercial.</p><p>MARTIN O'"
"196","MALLEY:</p><p>John, there is not-- a serious economist who would disagree that the six big banks of Wall Street have taken on so much power and that all of us are still on the hook to bail them out on their bad debts.  That's not capitalism, Secretary Clinton-- Clinton, that's crummy capitalism.</p><p>That's a wonderful business model if you place that bet-- the taxpayers bail you out.  But if you place good ones you pocket it.  Look, I don't believe that the model-- there's lots of good people that work in finance, Secretary Sanders.  But Secretary Clinton, we need to step up.  And we need to protect main street from Wall Street.  And you can't do that by-- by campaigning as the candidate of Wall Street.  I am not the candidate of Wall Street.  And I encourage--</p><p>BERNIE "
"197","SANDERS:</p><p>Let me--</p><p>MARTIN O'"
"198","MALLEY:</p><p>--everybody watching this tonight to-- please-- acknowledge that by going online at MartinO'Malley.com and help me wage this campaign for real American capitalism.  </p><p>(APPLAUSE)</p><p>JOHN "
"199","Mods:</p><p>We have to-- we have to go for a commercial, I'm sorry.  We have to go for a commercial here.  We'll be right back with the democratic debate here in Des Moines, Iowa on CBS.</p><p>(THEME MUSIC)</p><p>JOHN "
"200","Mods:</p><p>Back now in Des Moines with the candidates for the Democratic presidential nomination.  Senator Sanders, I wanna start with you.  Let's say you're elected president.  Congratulations.</p><p>BERNIE "
"201","SANDERS:</p><p>Thank you.  (LAUGHTER) (CHEERING) Looking forward to it.  (APPLAUSE)</p><p>JOHN "
"202","Mods:</p><p>You've said you'll have a revolution.</p><p>BERNIE "
"203","SANDERS:</p><p>Yes.</p><p>JOHN "
"204","Mods:</p><p>But there's a conservative revolution going on in America right now.  As John Boehner knows, and as Democrats know who have lost in state Houses across the country--</p><p>BERNIE "
"205","SANDERS:</p><p>Right.</p><p>JOHN "
"206","Mods:</p><p>--those conservatives are watching tonight and probably shaking their heads.  So (LAUGHTER) how you deal with that part of the country?  The revolution's already happening, but on the other side.</p><p>BERNIE "
"207","SANDERS:</p><p>And we are gonna do a political revolution which brings working people, young people, senior citizens, minorities together.  Because every issue that I am talking about, paid family and medical leave, breaking up the banks on Wall Street, asking the wealthy to pay their fair share of taxes, rebuilding a fumbling infrastructure, raising the minimum wage to 15 bucks an hour, every one of those issues is supported by a significant majority of the American people.</p><p>Problem is, that as a result of a corrupt campaign finance system, Congress is not listening to the American people.  It's listening to the big money (UNINTEL).  What the political revolution is about is bringing people together to finally say, ""Enough is enough.  This government belongs to us, not just the billionaires.""</p><p>JOHN "
"208","Mods:</p><p>Senator, a 30-second follow-up.  We've heard already tonight that-- that your 92% of support for background checks.  Let the ar-- let's look at that as-- as an example.  If there were something 92% of the public was for, there have been these-- these mass shootings, there was emotional support behind it.</p><p>BERNIE "
"209","SANDERS:</p><p>Yes.</p><p>JOHN "
"210","Mods:</p><p>Bipartisan support.</p><p>BERNIE "
"211","SANDERS:</p><p>Yes.</p><p>JOHN "
"212","Mods:</p><p>The president, the full force of his office.</p><p>BERNIE "
"213","SANDERS:</p><p>Yup.</p><p>JOHN "
"214","Mods:</p><p>It went nowhere.  That's the model you're talking about-- nothing happened.</p><p>BERNIE "
"215","SANDERS:</p><p>What we need is leadership in this country which revitalizes American democracy.  And makes people understand that if they stand up and fight back and take on the bullet-- p-- billionaire class, we can bring about the change that we need.  If we are not successful, if we continue the same old same old of Washington being run by corporate lobbyists and big money and trusts (?), nothing changes.</p><p>Look, I am very happy in this campaign that we have had rallies with tens of thousands of people, mostly young people.  What the polls are showing is that we are absolutely defeating the secretary among younger people.  We're giving young people and working people hope that real change can take place in America.  That's what the political revolution is about.</p><p>JOHN "
"216","Mods:</p><p>A ques-- a question from Kathie Obradovich.</p><p>KATHIE "
"217","OBRADOVICH:</p><p>Yes.  Senator Sanders, you famously said in the last debate that you were sick and tired of hearing about your damn emails.  But then you told The Wall Street Journal that the questions about whether or not Secretary Clinton's emails compromised classified information were valid questions.  So what does it mean?  Is it an issue or is it not?</p><p>BERNIE "
"218","SANDERS:</p><p>That's just media fluff.  I was sick and tired of Hillary Clinton's email.  I am still sick and tired of Hillary Clinton's (UNINTEL).  (LAUGHTER) And the issue is-- the problem is the front pages every day were dealing (?) with that.  I didn't know I had so much power.  But after I said that, without hearing much of that, Hillary (LAUGH) (UNINTEL PHRASE).</p><p>KATHIE "
"219","OBRADOVICH:</p><p>But (UNINTEL) all right--</p><p>BERNIE "
"220","SANDERS:</p><p>What I would like for the media now (APPLAUSE) is for us to be talking about why the middle class is disappearing while we have more people in jail than any other country, why we have massive levels of income and wealth inequality and we're the only major country (UNINTEL PHRASE) paid family and medical leave.  We've gotten off of Hillary's emails, good.  Let's go to the major issues facing America.  (CHEERING) (APPLAUSE)</p><p>(OVERTALK)</p><p>KATHIE "
"221","OBRADOVICH:</p><p>--your response.</p><p>HILLARY "
"222","CLINTON:</p><p>I'm sorry, I couldn't hear you.</p><p>KATHIE "
"223","OBRADOVICH:</p><p>Secretary Clinton, your response?</p><p>HILLARY "
"224","CLINTON:</p><p>I agree completely.  (LAUGHTER) (APPLAUSE) I couldn't have said it better myself.  But-- but I-- I did wanna-- I-- I wanted to follow up.  Look, we need more Americans to be involved in the political process.  And I give Senator Sanders a lot of credit for really lighting a fire under many people, young, old, everybody who sees a chance to be involved and have their voice heard.</p><p>Look at what's happening with the Republicans.  They're doing everything they can to prevent the voices of Americans to be heard.  (APPLAUSE) They're trying to prevent people from registering to vote.  So we do need to take on the Republicans-- very clearly and directly.  But the other thing I just wanted quickly to say is I think President Obama deserves more credit than he gets for what he's gotten done-- (APPLAUSE) in Washington despite the Republican oppression.</p><p>JOHN "
"225","Mods:</p><p>Secretary Clinton, just one-- more question on the email question.  For Democrats, there's an F.B.I. investigation going on.  Can you satisfy Democrats who might worry about another shoe dropping?  That you and your staff have been totally truthful to them and that another shoe is not gonna drop?</p><p>HILLARY "
"226","CLINTON:</p><p>Well, I think after 11 hours that's pretty clear.  Yeah.  (LAUGHTER) (CHEERING) (APPLAUSE) You know, I-- I do think it's important to do exactly what Senator Sanders said.  And that is to start talking about the issues that the American people really care about and that they talk to each of us about and to contrast.</p><p>I mean, there are differences among us.  You've heard some of those tonight.  I still wanna get back to healthcare, because I think that's a worthy topic to explore.  But the differences among us pale compared to what's happening on the Republican--</p><p>JOHN "
"227","Mods:</p><p>What--</p><p>HILLARY "
"228","CLINTON:</p><p>--side.  And if you listen to what they say, and I had a chance over those 11 hours to watch and listen as well as what I see in their debate, they are putting forth alarming plans.  I mean, all of us support funding Planned Parenthood.  All of us believe climate change is real.  All of us want equal pay for equal work.  They don't believe in any of that.  So let's focus on what their election is really gonna be about.  (APPLAUSE)</p><p>JOHN "
"229","Mods:</p><p>Another-- well, race relations is another issue everyone cares about.  And we're gonna switch to that now.  Governor O'Malley, let me ask you a question.  The-- the head of the F.B.I. recently said, ""It might be possible that some police forces are not enforcing the law because they're worried about being caught on camera.""  The acting head of the Drug Enforcement Administration said a similar thing.  Where-- where are you on this question and what would you do if you were president and two top members of your administration were floating that idea?</p><p>MARTIN O'"
